id,data,label
00065,613578e1a86a58b0,brake
000a2,80488efaf722055e,brake
000cf,43b13c1a8e0ede87,brake
000ec,8dd130d685a979c2,brake
00107,597a2ac0749b3568,brake
00195,b93d48fd4b78c8e6,brake
0021f,dde4ff228e49d4d5,brake
0027a,b68b83849ce1c2d4,brake
0029a,3b5200b30288ee00,brake
002f8,006992eb66722bd2,brake
00380,a40d0cd328fc4f4a,brake
00429,4cd5640893528b24,brake
00446,6af5500a25aab339,brake
00465,39bc2a3e4f277d96,brake
00487,270022e94ee22739,brake
004bd,0160be28c64f81f2,brake
004ee,ae16ca64c941ecbb,brake
0053d,254e60b5d08cfb17,brake
0054d,a64f7aae44deb76b,brake
00554,75d19a5f7f9f9d4c,brake
00571,ce1f3cb6d3bf8fe5,brake
005ae,5018ba9746aa7b53,brake
00629,4b7ac1be3ff54ee4,brake
0063e,f3d493a731c305f1,brake
0064a,00242bb25c0fd779,brake
0064f,cfbf39734f96c888,brake
0068c,133005a201dce327,brake
006ac,d2e9099bcd6af759,brake
006f7,452af055dc785a48,brake
0077d,a109b024ad20ab62,brake
00065,613578e1a86a58b0,brake
000a2,80488efaf722055e,brake
000cf,d79dc20431eeade0,brake
000ec,5873c2820e876a48,brake
00107,f4ba3e8819d6b50f,brake
00195,b93d48fd4b78c8e6,brake
0021f,58c28f25cf788d4a,brake
0027a,726c0d247b3530a2,brake
0029a,3b5200b30288ee00,brake
002f8,10e1d63d942e9120,brake
00380,b2e1d56c1b7893dc,brake
00429,4cd5640893528b24,brake
00446,6af5500a25aab339,brake
00465,39bc2a3e4f277d96,brake
00487,270022e94ee22739,brake
004bd,0160be28c64f81f2,brake
004ee,ae16ca64c941ecbb,brake
0053d,35616dc122297b34,brake
0054d,a64f7aae44deb76b,brake
00554,d0377cb1b6792615,brake
00571,cbc7904c899a4d57,brake
005ae,5018ba9746aa7b53,brake
00629,4b7ac1be3ff54ee4,brake
0063e,f3d493a731c305f1,brake
0064a,00242bb25c0fd779,brake
0064f,a2dd5828732bbfcd,brake
0068c,133005a201dce327,brake
006ac,d2e9099bcd6af759,brake
006f7,452af055dc785a48,brake
0077d,a33df2303fbd1d3c,brake
00065,613578e1a86a58b0,brake
000a2,80488efaf722055e,brake
000cf,d79dc20431eeade0,brake
000ec,5873c2820e876a48,brake
00107,f4ba3e8819d6b50f,brake
00195,b93d48fd4b78c8e6,brake
0021f,58c28f25cf788d4a,brake
0027a,726c0d247b3530a2,brake
0029a,3b5200b30288ee00,brake
002f8,10e1d63d942e9120,brake
00380,b2e1d56c1b7893dc,brake
00429,4cd5640893528b24,brake
00446,6af5500a25aab339,brake
00465,39bc2a3e4f277d96,brake
00487,270022e94ee22739,brake
004bd,0160be28c64f81f2,brake
004ee,ae16ca64c941ecbb,brake
0053d,35616dc122297b34,brake
0054d,a64f7aae44deb76b,brake
00554,d0377cb1b6792615,brake
00571,cbc7904c899a4d57,brake
005ae,5018ba9746aa7b53,brake
00629,4b7ac1be3ff54ee4,brake
0063e,f3d493a731c305f1,brake
0064a,00242bb25c0fd779,brake
0064f,a2dd5828732bbfcd,brake
0068c,133005a201dce327,brake
006ac,d2e9099bcd6af759,brake
006f7,452af055dc785a48,brake
0077d,a33df2303fbd1d3c,brake
00065,613578e1a86a58b0,brake
000a2,96dba0689ae921f7,brake
000cf,e66084634c188d16,brake
000ec,8dd130d685a979c2,brake
00107,1c25e1d505e75370,brake
00195,b93d48fd4b78c8e6,brake
0021f,58c28f25cf788d4a,brake
0027a,560318bbc48005bc,brake
0029a,3b5200b30288ee00,brake
002f8,10e1d63d942e9120,brake
00380,b2e1d56c1b7893dc,brake
00429,cd5e495dc6ee3149,brake
00446,6af5500a25aab339,brake
00465,39bc2a3e4f277d96,brake
00487,270022e94ee22739,brake
004bd,0160be28c64f81f2,brake
004ee,ae16ca64c941ecbb,brake
0053d,254e60b5d08cfb17,brake
0054d,a64f7aae44deb76b,brake
00554,d0377cb1b6792615,brake
00571,ce1f3cb6d3bf8fe5,brake
005ae,5018ba9746aa7b53,brake
00629,4b7ac1be3ff54ee4,brake
0063e,f3d493a731c305f1,brake
0064a,00242bb25c0fd779,brake
0064f,a2dd5828732bbfcd,brake
0068c,133005a201dce327,brake
006ac,2ec65c40646227c2,brake
006f7,452af055dc785a48,brake
0077d,a109b024ad20ab62,brake
00065,613578e1a86a58b0,brake
000a2,96dba0689ae921f7,brake
000cf,e66084634c188d16,brake
000ec,8dd130d685a979c2,brake
00107,1c25e1d505e75370,brake
00195,b93d48fd4b78c8e6,brake
0021f,58c28f25cf788d4a,brake
0027a,560318bbc48005bc,brake
0029a,3b5200b30288ee00,brake
002f8,10e1d63d942e9120,brake
00380,b2e1d56c1b7893dc,brake
00429,cd5e495dc6ee3149,brake
00446,6af5500a25aab339,brake
00465,39bc2a3e4f277d96,brake
00487,270022e94ee22739,brake
004bd,0160be28c64f81f2,brake
004ee,ae16ca64c941ecbb,brake
0053d,254e60b5d08cfb17,brake
0054d,a64f7aae44deb76b,brake
00554,d0377cb1b6792615,brake
00571,ce1f3cb6d3bf8fe5,brake
005ae,5018ba9746aa7b53,brake
00629,4b7ac1be3ff54ee4,brake
0063e,f3d493a731c305f1,brake
0064a,00242bb25c0fd779,brake
0064f,a2dd5828732bbfcd,brake
0068c,133005a201dce327,brake
006ac,2ec65c40646227c2,brake
006f7,452af055dc785a48,brake
0077d,a109b024ad20ab62,brake
00065,613578e1a86a58b0,brake
000a2,96dba0689ae921f7,brake
000cf,e66084634c188d16,brake
000ec,334bdb0f1f97bc05,brake
00107,f4ba3e8819d6b50f,brake
00195,b93d48fd4b78c8e6,brake
0021f,bff3f49520756cce,brake
0027a,b68b83849ce1c2d4,brake
0029a,3b5200b30288ee00,brake
002f8,5df669d366ee68f1,brake
00380,85400437988371bd,brake
00429,cd5e495dc6ee3149,brake
00446,6af5500a25aab339,brake
00465,39bc2a3e4f277d96,brake
00487,270022e94ee22739,brake
004bd,0160be28c64f81f2,brake
004ee,ae16ca64c941ecbb,brake
0053d,35616dc122297b34,brake
0054d,a64f7aae44deb76b,brake
00554,56d1db6d862b0ed4,brake
00571,c56b4160189a5351,brake
005ae,5018ba9746aa7b53,brake
00629,4b7ac1be3ff54ee4,brake
0063e,f3d493a731c305f1,brake
0064a,00242bb25c0fd779,brake
0064f,cfbf39734f96c888,brake
0068c,133005a201dce327,brake
006ac,09d2df18e1ccc9ea,brake
006f7,452af055dc785a48,brake
0077d,67c38dd9fd0dfba4,brake
00065,613578e1a86a58b0,brake
000a2,96dba0689ae921f7,brake
000cf,e66084634c188d16,brake
000ec,334bdb0f1f97bc05,brake
00107,f4ba3e8819d6b50f,brake
00195,b93d48fd4b78c8e6,brake
0021f,bff3f49520756cce,brake
0027a,b68b83849ce1c2d4,brake
0029a,3b5200b30288ee00,brake
