id,data,label
00013,7d0c83e68c126262,brake
00040,8cfa938247269814,brake
00048,00b26a5400c0f1dc,brake
0014c,84c2e00f0ca2cbb3,brake
00165,ab73f655cb12af99,brake
00179,8e00168c71f58916,brake
001c5,0546ded154948956,brake
001d8,4d8430f8fc3a0853,brake
00201,6a73820f714b689d,brake
00265,f2af496d24e3b099,brake
002bd,84af638535482d57,brake
0030b,872f02e02f028f10,brake
0037c,38a49878f1af025a,brake
003d6,caa8a94b9f8ae677,brake
003e3,3fcfdb6b8c6dd546,brake
003f6,7684b2b85e363c87,brake
00410,2472f9cbc25fdee4,brake
00437,e0020c6b27729c6b,brake
004a9,319108abd559e670,brake
004d3,2821a526aa292fbb,brake
00557,ed91599a9d882e82,brake
0059f,22d154e8e4c1741a,brake
0062c,1c215ae40655c597,brake
00661,8d626dd024ab9f01,brake
0066c,e79747bca2fb7070,brake
00689,2031ad0b1ce72215,brake
0074a,7387b6f300b830c6,brake
0074e,0e42fcb6e41f5769,brake
007da,35e94b774fd830e2,brake
007e4,ad8463072267cc98,brake
00013,6d673e8133421cd4,brake
00040,f8396ef4bb298ac9,brake
00048,00b26a5400c0f1dc,brake
0014c,74e6a60f7313552e,brake
00165,ab73f655cb12af99,brake
00179,8e00168c71f58916,brake
001c5,0546ded154948956,brake
001d8,4d8430f8fc3a0853,brake
00201,e66b9a89f61718fa,brake
00265,f2af496d24e3b099,brake
002bd,8e32ab42347049f9,brake
0030b,872f02e02f028f10,brake
0037c,38a49878f1af025a,brake
003d6,caa8a94b9f8ae677,brake
003e3,3fcfdb6b8c6dd546,brake
003f6,7684b2b85e363c87,brake
00410,fbbe88caa3314f09,brake
00437,e0020c6b27729c6b,brake
004a9,319108abd559e670,brake
004d3,f5613d89e2207607,brake
00557,ed91599a9d882e82,brake
0059f,29a3b4447020cbc4,brake
0062c,1c215ae40655c597,brake
00661,8d626dd024ab9f01,brake
0066c,e79747bca2fb7070,brake
00689,2031ad0b1ce72215,brake
0074a,7387b6f300b830c6,brake
0074e,0e42fcb6e41f5769,brake
007da,35e94b774fd830e2,brake
007e4,ad8463072267cc98,brake
00013,6d673e8133421cd4,brake
00040,f8396ef4bb298ac9,brake
00048,00b26a5400c0f1dc,brake
0014c,74e6a60f7313552e,brake
00165,ab73f655cb12af99,brake
00179,8e00168c71f58916,brake
001c5,0546ded154948956,brake
001d8,4d8430f8fc3a0853,brake
00201,e66b9a89f61718fa,brake
00265,f2af496d24e3b099,brake
002bd,8e32ab42347049f9,brake
0030b,872f02e02f028f10,brake
0037c,38a49878f1af025a,brake
003d6,caa8a94b9f8ae677,brake
003e3,3fcfdb6b8c6dd546,brake
003f6,7684b2b85e363c87,brake
00410,fbbe88caa3314f09,brake
00437,e0020c6b27729c6b,brake
004a9,319108abd559e670,brake
004d3,f5613d89e2207607,brake
00557,ed91599a9d882e82,brake
0059f,29a3b4447020cbc4,brake
0062c,1c215ae40655c597,brake
00661,8d626dd024ab9f01,brake
0066c,e79747bca2fb7070,brake
00689,2031ad0b1ce72215,brake
0074a,7387b6f300b830c6,brake
0074e,0e42fcb6e41f5769,brake
007da,35e94b774fd830e2,brake
007e4,ad8463072267cc98,brake
00013,2be9a6c27536bdb1,brake
00040,93c893817ea0a715,brake
00048,00b26a5400c0f1dc,brake
0014c,83aea71b8dc21ef2,brake
00165,ab73f655cb12af99,brake
00179,8e00168c71f58916,brake
001c5,0546ded154948956,brake
001d8,4d8430f8fc3a0853,brake
00201,6a73820f714b689d,brake
00265,f2af496d24e3b099,brake
002bd,84af638535482d57,brake
