id,data,label
00014,478a2c63777e03d5,brake
0005d,3cfe7c619ca57791,brake
0006a,e83c00408579a110,brake
000a8,52b1f438d729dfd6,brake
000f3,0fa6b194785bd112,brake
000fb,e0b8bea73bca8c04,brake
0012d,c688e5959b563f07,brake
0012f,591bc9bb12b0b673,brake
001a0,44f9e19f7f49834d,brake
001c9,5d46741b12783505,brake
00251,b81bbc80dd7e9419,brake
0025d,123ad41fba2ece51,brake
00267,c500ee006855e682,brake
002b1,936be628b6ea9a68,brake
00326,3838c13796419024,brake
00382,cb9ecb6ee0720d9a,brake
003c2,0c5a9b8500d7521f,brake
003e3,1161cb96e919f12a,brake
0044e,6004d00fefc1e057,brake
004f1,6aea5a2a41ae4fca,brake
00511,425868cabe02baaf,brake
0056f,530f6c93cd2b0edb,brake
00646,c5e11c161ca5e206,brake
0068f,961746875dba1ae6,brake
006cc,451f3644ec10e47f,brake
0075d,d4c6584751eb7c29,brake
0077b,fd641a3c2c6e9eb9,brake
00796,f69ae37f77a0eddd,brake
007a5,d6f07a3035554ef8,brake
007ac,cd10d8ea46c21003,brake
00014,478a2c63777e03d5,brake
0005d,3cfe7c619ca57791,brake
0006a,e83c00408579a110,brake
000a8,52b1f438d729dfd6,brake
000f3,49b3b658c28b860b,brake
000fb,e0b8bea73bca8c04,brake
0012d,8f30601b0dd53ad6,brake
0012f,591bc9bb12b0b673,brake
001a0,44f9e19f7f49834d,brake
001c9,5d46741b12783505,brake
00251,f228f50e82b6ca39,brake
0025d,5a0ece6e55010baa,brake
00267,c500ee006855e682,brake
002b1,936be628b6ea9a68,brake
00326,3838c13796419024,brake
00382,59cd7390e041c997,brake
003c2,0c5a9b8500d7521f,brake
003e3,1161cb96e919f12a,brake
0044e,6004d00fefc1e057,brake
004f1,6aea5a2a41ae4fca,brake
00511,425868cabe02baaf,brake
0056f,530f6c93cd2b0edb,brake
00646,c5e11c161ca5e206,brake
0068f,961746875dba1ae6,brake
006cc,451f3644ec10e47f,brake
0075d,d4c6584751eb7c29,brake
0077b,fd641a3c2c6e9eb9,brake
00796,f69ae37f77a0eddd,brake
007a5,d6f07a3035554ef8,brake
007ac,a68cf655ee39d36c,brake
00014,478a2c63777e03d5,brake
0005d,3cfe7c619ca57791,brake
0006a,e83c00408579a110,brake
000a8,52b1f438d729dfd6,brake
000f3,49b3b658c28b860b,brake
000fb,e0b8bea73bca8c04,brake
0012d,8f30601b0dd53ad6,brake
0012f,591bc9bb12b0b673,brake
001a0,44f9e19f7f49834d,brake
001c9,5d46741b12783505,brake
00251,f228f50e82b6ca39,brake
0025d,5a0ece6e55010baa,brake
00267,c500ee006855e682,brake
002b1,936be628b6ea9a68,brake
00326,3838c13796419024,brake
00382,59cd7390e041c997,brake
003c2,0c5a9b8500d7521f,brake
003e3,1161cb96e919f12a,brake
0044e,6004d00fefc1e057,brake
004f1,6aea5a2a41ae4fca,brake
00511,425868cabe02baaf,brake
0056f,530f6c93cd2b0edb,brake
00646,c5e11c161ca5e206,brake
0068f,961746875dba1ae6,brake
006cc,451f3644ec10e47f,brake
0075d,d4c6584751eb7c29,brake
0077b,fd641a3c2c6e9eb9,brake
00796,f69ae37f77a0eddd,brake
007a5,d6f07a3035554ef8,brake
007ac,a68cf655ee39d36c,brake
00014,72267f2b43f87f46,brake
0005d,3cfe7c619ca57791,brake
0006a,e83c00408579a110,brake
000a8,52b1f438d729dfd6,brake
000f3,49b3b658c28b860b,brake
000fb,e0b8bea73bca8c04,brake
0012d,bc469ca6815583a2,brake
0012f,60865d67bc9c4eb9,brake
001a0,4c6a9a052b8d320f,brake
001c9,5d46741b12783505,brake
00251,14f4ed29218dc61c,brake
0025d,123ad41fba2ece51,brake
00267,c500ee006855e682,brake
002b1,936be628b6ea9a68,brake
00326,3838c13796419024,brake
00382,59cd7390e041c997,brake
003c2,0c5a9b8500d7521f,brake
003e3,1161cb96e919f12a,brake
0044e,6004d00fefc1e057,brake
004f1,6aea5a2a41ae4fca,brake
00511,ed617b8497e82da1,brake
0056f,530f6c93cd2b0edb,brake
00646,cbad58347991dfc7,brake
0068f,5dbbf839b0deb8cd,brake
006cc,451f3644ec10e47f,brake
0075d,d4c6584751eb7c29,brake
0077b,fd641a3c2c6e9eb9,brake
00796,f69ae37f77a0eddd,brake
007a5,39f6926b342a820e,brake
007ac,a333089202c121e4,brake
00014,72267f2b43f87f46,brake
0005d,3cfe7c619ca57791,brake
0006a,e83c00408579a110,brake
000a8,52b1f438d729dfd6,brake
000f3,49b3b658c28b860b,brake
000fb,e0b8bea73bca8c04,brake
0012d,bc469ca6815583a2,brake
0012f,60865d67bc9c4eb9,brake
001a0,4c6a9a052b8d320f,brake
001c9,5d46741b12783505,brake
00251,14f4ed29218dc61c,brake
0025d,123ad41fba2ece51,brake
00267,c500ee006855e682,brake
002b1,936be628b6ea9a68,brake
00326,3838c13796419024,brake
00382,59cd7390e041c997,brake
003c2,0c5a9b8500d7521f,brake
003e3,1161cb96e919f12a,brake
0044e,6004d00fefc1e057,brake
004f1,6aea5a2a41ae4fca,brake
00511,ed617b8497e82da1,brake
0056f,530f6c93cd2b0edb,brake
00646,cbad58347991dfc7,brake
0068f,5dbbf839b0deb8cd,brake
006cc,451f3644ec10e47f,brake
0075d,d4c6584751eb7c29,brake
0077b,fd641a3c2c6e9eb9,brake
00796,f69ae37f77a0eddd,brake
007a5,39f6926b342a820e,brake
007ac,a333089202c121e4,brake
00014,72267f2b43f87f46,brake
0005d,3cfe7c619ca57791,brake
0006a,e83c00408579a110,brake
000a8,52b1f438d729dfd6,brake
000f3,49b3b658c28b860b,brake
000fb,e0b8bea73bca8c04,brake
0012d,c688e5959b563f07,brake
0012f,60865d67bc9c4eb9,brake
001a0,a2983c42d1a47644,brake
001c9,5d46741b12783505,brake
00251,b81bbc80dd7e9419,brake
0025d,123ad41fba2ece51,brake
00267,c500ee006855e682,brake
002b1,936be628b6ea9a68,brake
00326,3838c13796419024,brake
00382,59cd7390e041c997,brake
003c2,0c5a9b8500d7521f,brake
003e3,1161cb96e919f12a,brake
0044e,6004d00fefc1e057,brake
004f1,6aea5a2a41ae4fca,brake
00511,ed617b8497e82da1,brake
0056f,530f6c93cd2b0edb,brake
00646,cbad58347991dfc7,brake
0068f,961746875dba1ae6,brake
006cc,451f3644ec10e47f,brake
0075d,d4c6584751eb7c29,brake
