id,data,timestamp,action
0037d,c7d08f796c0b85f6,1715691623.32227,SteerRight
0056e,cc032ced24e9d957,1715691623.32329,SteerRight
005bf,8b13b0de1c204972,1715691623.32431,SteerRight
007b6,7458a90000e2ae7b,1715691623.32532,SteerRight
00638,e7ba95a25602f4f8,1715691623.32634,SteerRight
0010c,328b9200445c6439,1715691623.32735,SteerRight
0044a,d67859f75fb9ba46,1715691623.32836,SteerRight
0007a,ab0eb36ee8da31e9,1715691623.32937,SteerRight
00421,2530faddcd48ba00,1715691623.33038,SteerRight
00349,aae6921a9610abca,1715691623.3314,SteerRight
00647,637f4be100d632e4,1715691623.33351,SteerRight
007cb,e7d5d587e26b6511,1715691623.33535,SteerRight
006a2,d79f2f737d2225b6,1715691623.33641,SteerRight
004fd,afb90a5dcef54ef3,1715691623.33746,SteerRight
00709,8d0e8f5ac0b52d16,1715691623.33848,SteerRight
005c9,dbf526abcfccd8a8,1715691623.33949,SteerRight
00758,a30e7f4b4e21d916,1715691623.3405,SteerRight
0062a,b5cea57a458bf441,1715691623.34152,SteerRight
00574,1620d1a4b0c194b8,1715691623.34254,SteerRight
0032a,68c9fc45498dfc71,1715691623.34355,SteerRight
0037d,c8426e29e5ca6d0a,1715691623.34457,SteerRight
0056e,40ba382d1d4bc560,1715691623.34559,SteerRight
005bf,8b13b0de1c204972,1715691623.34661,SteerRight
007b6,7458a90000e2ae7b,1715691623.34773,SteerRight
00638,665620b890bfd626,1715691623.34875,SteerRight
0010c,328b9200445c6439,1715691623.34976,SteerRight
0044a,f0101bc88a041450,1715691623.35077,SteerRight
0007a,5a219af5ce8ae7cc,1715691623.35179,SteerRight
00421,c262b2df1b8395d1,1715691623.35281,SteerRight
00349,58df9ef354d8dd52,1715691623.35382,SteerRight
00647,637f4be100d632e4,1715691623.35483,SteerRight
007cb,e7d5d587e26b6511,1715691623.35584,SteerRight
006a2,d79f2f737d2225b6,1715691623.35686,SteerRight
004fd,afb90a5dcef54ef3,1715691623.35787,SteerRight
00709,8d0e8f5ac0b52d16,1715691623.35889,SteerRight
005c9,dbf526abcfccd8a8,1715691623.3599,SteerRight
00758,a30e7f4b4e21d916,1715691623.36091,SteerRight
0062a,b5cea57a458bf441,1715691623.36192,SteerRight
00574,1620d1a4b0c194b8,1715691623.36294,SteerRight
0032a,68c9fc45498dfc71,1715691623.36395,SteerRight
0037d,c8426e29e5ca6d0a,1715691623.36497,SteerRight
0056e,40ba382d1d4bc560,1715691623.36598,SteerRight
005bf,8b13b0de1c204972,1715691623.367,SteerRight
007b6,7458a90000e2ae7b,1715691623.36802,SteerRight
00638,665620b890bfd626,1715691623.36904,SteerRight
0010c,328b9200445c6439,1715691623.37005,SteerRight
0044a,f0101bc88a041450,1715691623.37106,SteerRight
0007a,5a219af5ce8ae7cc,1715691623.37208,SteerRight
00421,c262b2df1b8395d1,1715691623.37315,SteerRight
00349,58df9ef354d8dd52,1715691623.37417,SteerRight
00647,637f4be100d632e4,1715691623.3752,SteerRight
